"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApMsgFwd","1","112","94076928","29855744","1486848","8960","C:\Program Files\DellTPad\ApMsgFwd.exe","Alps Electric Co., Ltd.","37.0625","8, 1, 0, 44","8, 1, 0, 44","ApMsgFwd","ApMsgFwd","Process","8",,"False",,"2408","Microsoft.Win32.SafeHandles.SafeProcessHandle","112","8280",".","0","","System.Diagnostics.ProcessModule (ApMsgFwd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8960","8960","1486848","1486848","180144","180144","1568768","1568768","30068736","30068736","98131968","98131968","True","Normal","1486848","1486848","00:00:25.3281250","ApMsgFwd","15","True","1","System.Diagnostics.ProcessStartInfo","1/2/2018 9:58:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:37.0625000","00:00:11.7343750","94076928","94076928","False",,,,"29855744","29855744",,
"ApntEx","1","123","96317440","31223808","1826816","9976","C:\Program Files\DellTPad\Apntex.exe","Alps Electric Co., Ltd.","3.328125","8, 1, 0, 34","8, 1, 0, 34","Alps Pointing-device Driver for Windows","Alps Pointing-device Driver for Windows","Process","8",,"False",,"2864","Microsoft.Win32.SafeHandles.SafeProcessHandle","123","8988",".","0","","System.Diagnostics.ProcessModule (Apntex.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9976","9976","1826816","1826816","181480","181480","3039232","3039232","31780864","31780864","98283520","98283520","True","Normal","1826816","1826816","00:00:02.1093750","ApntEx","15","True","1","System.Diagnostics.ProcessStartInfo","1/2/2018 9:58:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.3281250","00:00:01.2187500","96317440","96317440","False",,,,"31223808","31223808",,
"Apoint","1","311","150171648","46301184","4653056","20240","C:\Program Files\DellTPad\Apoint.exe","Alps Electric Co., Ltd.","28.265625","10, 1, 101, 207","10, 1, 101, 207","Alps Pointing-device Driver","Alps Pointing-device Driver","Process","8",,"False",,"2920","Microsoft.Win32.SafeHandles.SafeProcessHandle","311","6908",".","0","","System.Diagnostics.ProcessModule (Apoint.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20240","20240","4653056","4653056","296624","296624","5242880","5242880","47013888","47013888","183947264","183947264","True","Normal","4653056","4653056","00:00:26.2187500","Apoint","15","True","1","System.Diagnostics.ProcessStartInfo","1/2/2018 9:58:26 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:28.2656250","00:00:02.0468750","150171648","150171648","False",,,,"46301184","46301184",,
"ApplicationFrameHost","1","291","2199175495680","50499584","8429568","18616","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.90625","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3048","Microsoft.Win32.SafeHandles.SafeProcessHandle","291","6052",".","591584","Photos","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18616","18616","8429568","8429568","300744","300744","9072640","9072640","53645312","53645312","173727744","2199196983296","True","Normal","8429568","8429568","00:00:00.7031250","ApplicationFrameHost","15","True","1","System.Diagnostics.ProcessStartInfo","1/2/2018 10:48:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9062500","00:00:00.2031250","152240128","2199175495680","False",,,,"50499584","50499584",,
"audiodg","0","164","2199071879168","11051008","6287360","10384","C:\WINDOWS\system32\AUDIODG.EXE","Microsoft Corporation","8.40625","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Windows Audio Device Graph Isolation ","Microsoft? Windows? Operating System","Process","8",,"False",,"2368","Microsoft.Win32.SafeHandles.SafeProcessHandle","164","4268",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","10121216","8912896","System.Diagnostics.ProcessModuleCollection","10384","10384","6287360","6287360","86248","86248","7688192","7688192","12697600","12697600","51081216","2199074336768","True","Normal","6287360","6287360","00:00:03.5468750","audiodg","15","True","0","System.Diagnostics.ProcessStartInfo","1/4/2018 11:34:00 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.4062500","00:00:04.8593750","48623616","2199071879168","False",,,,"11051008","11051008",,
"CcmExec","0","1378","780414976","60510208","61407232","67120","C:\WINDOWS\CCM\CcmExec.exe","Microsoft Corporation","350.0625","5.00.8498.1000 (SCCM.170301-0127)","5.00.8498.1000","Host Process for Microsoft Configuration Manager","System Center Configuration Manager","Process","8",,"False",,"2172","Microsoft.Win32.SafeHandles.SafeProcessHandle","1378","3936",".","0","","System.Diagnostics.ProcessModule (CcmExec.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","67120","67120","61407232","61407232","513968","513968","202244096","202244096","341336064","341336064","1047195648","1047195648","True","Normal","61407232","61407232","00:03:56.8125000","CcmExec","15","True","0","System.Diagnostics.ProcessStartInfo","1/2/2018 9:55:58 AM",,"System.Diagnostics.ProcessThreadCollection","00:05:50.0625000","00:01:53.2500000","780414976","780414976","False",,,,"60510208","60510208",,
"chrome","1","364","2200158347264","152793088","224182272","56144","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","258.765625","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","4",,"False",,"2932","Microsoft.Win32.SafeHandles.SafeProcessHandle","364","2124",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","56144","56144","224182272","224182272","548584","548584","333021184","333021184","359104512","359104512","1210388480","2200233644032","True","Idle","224182272","224182272","00:00:04.5781250","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","1/4/2018 11:06:55 PM",,"System.Diagnostics.ProcessThreadCollection","00:04:18.7656250","00:04:14.1875000","1135091712","2200158347264","False",,,,"152793088","152793088",,
"chrome","1","264","2199857696768","44990464","50343936","26224","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","4.109375","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"2456","Microsoft.Win32.SafeHandles.SafeProcessHandle","264","4496",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26224","26224","50343936","50343936","395760","395760","52887552","52887552","54501376","54501376","842829824","2199866085376","True","Normal","50343936","50343936","00:00:00.4843750","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","1/4/2018 10:52:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.1093750","00:00:03.6250000","834441216","2199857696768","False",,,,"44990464","44990464",,
"chrome","1","2312","2199733547008","142004224","191799296","76192","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","280.65625","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"2872","Microsoft.Win32.SafeHandles.SafeProcessHandle","2312","7488",".","396166","Python Demonstration: Reading and Writing CSV files - University of Michigan | Coursera - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","76192","76192","191799296","191799296","913184","913184","286416896","286416896","326565888","326565888","800583680","2199823839232","True","Normal","191799296","191799296","00:01:51.2187500","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","1/4/2018 10:52:25 PM",,"System.Diagnostics.ProcessThreadCollection","00:04:40.6562500","00:02:49.4375000","710291456","2199733547008","False",,,,"142004224","142004224",,
"chrome","1","267","2199837904896","34742272","37150720","25544","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.609375","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"3108","Microsoft.Win32.SafeHandles.SafeProcessHandle","267","7568",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25544","25544","37150720","37150720","396016","396016","43692032","43692032","46567424","46567424","822489088","2199845744640","True","Normal","37150720","37150720","00:00:00.2500000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","1/4/2018 10:52:59 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6093750","00:00:00.3593750","814649344","2199837904896","False",,,,"34742272","34742272",,
